M  = 7648
NX = 200
NY = 200

u_rad, v_rad, vis_r, vis_i, noise_std_dev
3.557460e-01, 2.241010e-01, 8.091275e-01, -4.732117e+00, 1.419891e-01
3.278303e-01, 1.918243e-01, -1.568213e-01, -4.865757e+00, 9.116910e-02
-4.590202e-02, 1.706212e-01, 1.334737e+00, 2.029221e+00, 4.403298e-01
2.511770e-01, 5.506740e-02, 6.186078e-01, 1.572536e+00, 3.981379e-01
-8.257469e-02, 1.544016e-01, -2.726765e+00, 2.520372e+00, 5.257890e-01
-3.181759e-02, 1.169304e-01, -4.970830e-01, 4.484242e+00, 9.241712e-01
9.517707e-02, 6.266908e-02, 1.154923e+00, -7.360283e+00, 4.848400e-01
-7.895910e-02, 9.898295e-02, -1.944397e+00, -3.394055e-01, 5.187795e-01
-5.082967e-02, 1.312577e-01, -1.763658e+00, -9.830766e-01, 3.753278e-01
2.777345e-01, 3.230577e-01, -1.013915e+00, 3.495070e+00, 4.574466e-01
2.970777e-01, -1.155538e-01, 2.297225e+00, 8.455480e-01, 5.639810e-02
-3.667281e-02, -1.622001e-02, 5.363102e+00, 8.225295e+00, 2.826693e-01
1.408384e-02, -5.369089e-02, -4.221416e+00, 2.439849e+00, 1.181271e-01
1.410784e-01, -1.079521e-01, -2.672038e+00, -1.488924e+00, 4.900932e-02
-3.305779e-02, -7.163844e-02, -3.042741e+00, -7.412658e+00, 2.146052e-01
-4.928195e-03, -3.936370e-02, -1.855730e+00, -8.639336e+00, 1.361719e-01
3.236343e-01, 1.524364e-01, -2.678792e+00, 2.173422e+00, 1.098307e-01
-3.337510e-01, 9.933373e-02, 1.026720e+00, 1.542779e+00, 7.689577e-02
-2.829946e-01, 6.186283e-02, -1.025647e+00, 2.367951e+00, 8.602947e-02
-1.559996e-01, 7.601669e-03, -3.194373e+00, -4.038786e-01, 5.373177e-02
-3.301370e-01, 4.391553e-02, -2.424717e+00, -1.655829e+00, 9.461801e-02
-3.020065e-01, 7.619021e-02, -2.235226e+00, -2.075772e+00, 5.519720e-02
2.655716e-02, 2.679911e-01, -1.979285e+00, 2.312375e+00, 1.059939e-01
5.075681e-02, -3.747094e-02, 1.897672e+00, 1.943350e+00, 1.193388e-01
1.777515e-01, -9.173202e-02, -2.901642e+00, 1.769038e+00, 1.029592e-01
3.615141e-03, -5.541814e-02, -6.487418e+00, -7.285538e-01, 3.266320e-01
3.174475e-02, -2.314358e-02, -6.428977e+00, -1.206737e+00, 2.053783e-01
3.603080e-01, 1.686563e-01, 1.371883e+00, 2.696486e+00, 1.542170e-01
1.269948e-01, -5.426115e-02, -1.985222e+00, -2.822527e-01, 8.398569e-02
-4.714194e-02, -1.794732e-02, 1.324643e-01, 8.156815e+00, 3.313166e-01
-1.901209e-02, 1.432736e-02, -1.001457e+00, 9.257637e+00, 1.410233e-01
3.095518e-01, 2.061273e-01, 4.600438e+00, 1.247209e+00, 2.026127e-01
-1.741368e-01, 3.631383e-02, 1.011006e+00, -2.720677e-01, 6.162510e-02
-1.460068e-01, 6.858851e-02, 1.260845e+00, 3.714772e-01, 4.261415e-02
1.825567e-01, 2.603880e-01, -2.612260e+00, -7.037696e-01, 1.038090e-01
2.812984e-02, 3.227477e-02, 1.072055e+01, 3.946768e-01, 3.775572e-01
3.566946e-01, 2.240746e-01, 1.465411e-01, -4.956138e+00, 1.209266e-01
3.285638e-01, 1.917999e-01, -5.234494e-01, -4.685208e+00, 1.665820e-01
-4.547933e-02, 1.706248e-01, 1.893446e-01, 1.993301e+00, 3.994192e-01
2.518546e-01, 5.504872e-02, 9.599212e-01, 1.881123e+00, 3.592778e-01
-8.230881e-02, 1.544079e-01, -2.776376e+00, 1.790438e+00, 4.352719e-01
-3.148068e-02, 1.169329e-01, 6.799301e-01, 3.455488e+00, 8.471803e-01
9.567453e-02, 6.266205e-02, 1.077437e+00, -7.203461e+00, 4.316187e-01
-7.886013e-02, 9.898890e-02, -2.517009e+00, -9.957698e-01, 5.275954e-01
-5.051439e-02, 1.312616e-01, -1.808634e+00, -1.338682e+00, 3.425005e-01
2.787820e-01, 3.230372e-01, -1.892703e+00, 3.305080e+00, 2.877022e-01
2.973332e-01, -1.155760e-01, 2.182051e+00, 8.149604e-01, 5.613700e-02
-3.682973e-02, -1.621729e-02, 4.992201e+00, 8.300703e+00, 3.008020e-01
1.399826e-02, -5.369196e-02, -4.334622e+00, 2.406007e+00, 1.182900e-01
1.411531e-01, -1.079627e-01, -2.935064e+00, -8.962410e-01, 4.956268e-02
-3.338140e-02, -7.163603e-02, -3.425827e+00, -7.308406e+00, 1.168524e-01
-5.035427e-03, -3.936336e-02, -2.041322e+00, -8.666089e+00, 1.465571e-01
3.242598e-01, 1.524122e-01, -2.871156e+00, 1.744412e+00, 7.912067e-02
-3.341633e-01, 9.935867e-02, 9.650065e-01, 1.524931e+00, 7.557201e-02
-2.833354e-01, 6.188394e-02, -1.023620e+00, 2.479299e+00, 9.647712e-02
-1.561803e-01, 7.613317e-03, -3.185652e+00, 1.222703e-01, 6.486152e-02
-3.307156e-01, 4.394011e-02, -2.528906e+00, -1.508806e+00, 5.218464e-02
-3.023691e-01, 7.621275e-02, -2.285240e+00, -2.064413e+00, 7.517269e-02
2.692698e-02, 2.679892e-01, -2.278123e+00, 2.031498e+00, 8.691269e-02
5.082809e-02, -3.747472e-02, 1.891635e+00, 2.104988e+00, 1.365311e-01
1.779833e-01, -9.174527e-02, -2.445688e+00, 2.388093e+00, 1.261058e-01
3.448330e-03, -5.541845e-02, -6.641717e+00, 3.891355e-02, 2.696214e-01
3.179439e-02, -2.314595e-02, -6.432869e+00, -8.368630e-01, 2.486840e-01
3.610905e-01, 1.686295e-01, 1.101032e+00, 2.804466e+00, 1.001496e-01
1.271552e-01, -5.427064e-02, -1.971895e+00, 2.494004e-01, 9.936900e-02
-4.737985e-02, -1.794384e-02, 7.082087e-01, 8.419667e+00, 1.888565e-01
-1.903371e-02, 1.432878e-02, -7.309219e-01, 9.392755e+00, 1.898170e-01
3.102626e-01, 2.061043e-01, 4.698582e+00, 1.864160e+00, 1.282907e-01
-1.745352e-01, 3.632680e-02, 1.166140e+00, -1.902533e-01, 5.618750e-02
-1.461888e-01, 6.859939e-02, 1.135690e+00, 6.318615e-01, 4.447536e-02
1.831074e-01, 2.603745e-01, -2.410904e+00, -1.461394e+00, 5.493973e-02
2.834612e-02, 3.227272e-02, 1.124917e+01, 9.657974e-01, 2.449575e-01
3.576433e-01, 2.240481e-01, 1.101022e+00, -4.651351e+00, 1.246444e-01
3.292962e-01, 1.917754e-01, 1.582395e-01, -4.774742e+00, 1.234760e-01
-4.505628e-02, 1.706283e-01, 5.565034e-01, 1.446002e+00, 4.127844e-01
2.525303e-01, 5.503004e-02, 4.022343e-01, 2.017089e+00, 4.223947e-01
-8.204268e-02, 1.544141e-01, -3.131590e+00, 2.416827e+00, 4.129035e-01
-3.114383e-02, 1.169353e-01, -3.223730e-01, 3.815482e+00, 7.414685e-01
9.617090e-02, 6.265500e-02, 2.031349e+00, -6.361843e+00, 4.003964e-01
-7.876098e-02, 9.899481e-02, -2.851513e+00, -1.139450e+00, 4.229009e-01
-5.019901e-02, 1.312654e-01, -2.088643e+00, -1.050579e+00, 2.922943e-01
2.798277e-01, 3.230165e-01, -1.432271e+00, 4.002092e+00, 3.830233e-01
2.975874e-01, -1.155982e-01, 2.257173e+00, 6.775053e-01, 5.008519e-02
-3.698668e-02, -1.621456e-02, 5.050372e+00, 8.191079e+00, 3.062914e-01
1.391252e-02, -5.369304e-02, -4.312862e+00, 2.322704e+00, 1.003701e-01
1.412273e-01, -1.079732e-01, -2.728784e+00, -1.484927e+00, 5.080186e-02
-3.370484e-02, -7.163359e-02, -2.056626e+00, -7.851333e+00, 2.951221e-01
-5.142756e-03, -3.936299e-02, -1.834746e+00, -8.719249e+00, 1.779422e-01
3.248846e-01, 1.523881e-01, -2.611359e+00, 2.099039e+00, 1.097674e-01
-3.345739e-01, 9.938362e-02, 9.323545e-01, 1.661073e+00, 8.285584e-02
-2.836747e-01, 6.190508e-02, -9.556690e-01, 2.261122e+00, 1.066265e-01
-1.563599e-01, 7.624970e-03, -3.184884e+00, -5.578565e-01, 5.461469e-02
-3.312917e-01, 4.396472e-02, -2.049036e+00, -2.050486e+00, 1.316690e-01
-3.027299e-01, 7.623534e-02, -2.201511e+00, -2.211458e+00, 7.231814e-02
2.729658e-02, 2.679872e-01, -2.102771e+00, 2.219766e+00, 1.218307e-01
5.089910e-02, -3.747851e-02, 1.908718e+00, 2.042366e+00, 1.492977e-01
1.782141e-01, -9.175856e-02, -2.772990e+00, 1.905141e+00, 1.187908e-01
3.281655e-03, -5.541875e-02, -6.368438e+00, -1.230901e+00, 3.786877e-01
3.184386e-02, -2.314832e-02, -6.471281e+00, -1.015357e+00, 2.021850e-01
3.618714e-01, 1.686026e-01, 1.352287e+00, 2.514900e+00, 1.750594e-01
1.273148e-01, -5.428013e-02, -2.175134e+00, -2.186410e-01, 1.015477e-01
-4.761727e-02, -1.794035e-02, -6.929074e-01, 8.505590e+00, 2.862893e-01
-1.905525e-02, 1.433021e-02, -7.632877e-01, 9.120142e+00, 2.235187e-01
3.109720e-01, 2.060812e-01, 4.609587e+00, 1.109233e+00, 1.451481e-01
-1.749319e-01, 3.633975e-02, 1.041490e+00, -1.197578e-01, 6.161770e-02
-1.463700e-01, 6.861030e-02, 1.180056e+00, 3.923684e-01, 5.012443e-02
1.836570e-01, 2.603609e-01, -2.690070e+00, -6.678672e-01, 9.572330e-02
2.856207e-02, 3.227064e-02, 1.103696e+01, -9.432944e-01, 4.632317e-01
3.585890e-01, 2.240215e-01, -4.400073e-01, -4.907823e+00, 1.345597e-01
3.300272e-01, 1.917509e-01, -5.054968e-01, -4.644457e+00, 1.875557e-01
-4.463324e-02, 1.706317e-01, 5.379097e-01, 1.527909e+00, 4.703285e-01
2.532065e-01, 5.501123e-02, 6.596277e-01, 2.366347e+00, 3.638094e-01
-8.177596e-02, 1.544203e-01, -2.233552e+00, 1.578479e+00, 4.566018e-01
-3.080611e-02, 1.169377e-01, -1.413664e+00, 4.402238e+00, 7.870339e-01
9.666800e-02, 6.264787e-02, 1.157072e+00, -6.757876e+00, 4.740044e-01
-7.866117e-02, 9.900074e-02, -1.793556e+00, -8.298808e-01, 4.799396e-01
-4.988280e-02, 1.312692e-01, -2.425965e+00, -1.221821e+00, 3.596886e-01
2.808731e-01, 3.229957e-01, -1.351598e+00, 3.933304e+00, 3.816490e-01
2.978396e-01, -1.156204e-01, 2.215224e+00, 6.585704e-01, 5.270490e-02
-3.714283e-02, -1.621182e-02, 5.931353e+00, 7.445498e+00, 4.732423e-01
1.382691e-02, -5.369409e-02, -4.212401e+00, 2.605118e+00, 1.045429e-01
1.413006e-01, -1.079838e-01, -3.000203e+00, -5.350279e-01, 5.821728e-02
-3.402766e-02, -7.163115e-02, -3.621319e+00, -7.291291e+00, 1.099045e-01
-5.249776e-03, -3.936263e-02, -2.726007e+00, -8.573653e+00, 2.754654e-01
3.255056e-01, 1.523639e-01, -2.333272e+00, 2.435584e+00, 4.997766e-02
-3.349826e-01, 9.940858e-02, 9.797205e-01, 1.531834e+00, 1.135704e-01
-2.840128e-01, 6.192627e-02, -1.150308e+00, 2.275373e+00, 1.096273e-01
-1.565390e-01, 7.636648e-03, -3.268723e+00, 3.483893e-01, 7.028561e-02
-3.318674e-01, 4.398939e-02, -2.299328e+00, -1.741230e+00, 6.621505e-02
-3.030895e-01, 7.625793e-02, -2.231066e+00, -2.098435e+00, 7.787462e-02
2.766590e-02, 2.679853e-01, -1.876629e+00, 2.349142e+00, 7.052748e-02
5.096980e-02, -3.748231e-02, 1.867723e+00, 2.334532e+00, 1.601381e-01
1.784439e-01, -9.177185e-02, -2.296817e+00, 2.322210e+00, 1.695919e-01
3.115006e-03, -5.541904e-02, -6.535718e+00, -6.258492e-01, 3.643455e-01
3.189311e-02, -2.315069e-02, -6.049307e+00, -1.102375e+00, 4.898456e-01
3.626488e-01, 1.685757e-01, 1.509003e+00, 2.539458e+00, 1.449114e-01
1.274739e-01, -5.428963e-02, -2.145886e+00, 3.728247e-01, 1.048290e-01
-4.785479e-02, -1.793684e-02, 6.050901e-01, 8.460847e+00, 1.847528e-01
-1.907670e-02, 1.433163e-02, -4.279198e-01, 9.361347e+00, 3.011551e-01
3.116791e-01, 2.060581e-01, 4.830371e+00, 6.512799e-01, 9.992056e-02
-1.753287e-01, 3.635279e-02, 1.088256e+00, 1.479067e-01, 5.899491e-02
-1.465506e-01, 6.862123e-02, 1.100731e+00, 7.686636e-01, 5.963915e-02
1.842056e-01, 2.603473e-01, -2.596436e+00, -1.186293e+00, 5.666069e-02
2.877811e-02, 3.226855e-02, 1.138214e+01, 4.307740e-01, 3.391875e-01
3.595334e-01, 2.239949e-01, -7.360217e-02, -4.744975e+00, 8.556776e-02
3.307561e-01, 1.917263e-01, -6.403316e-01, -4.700959e+00, 1.855022e-01
-4.420937e-02, 1.706352e-01, 4.415425e-01, 1.453534e+00, 4.452612e-01
2.538811e-01, 5.499241e-02, 5.763501e-01, 1.484086e+00, 4.609868e-01
-8.150894e-02, 1.544265e-01, -3.116011e+00, 2.396896e+00, 3.961821e-01
-3.046861e-02, 1.169401e-01, 3.840894e-01, 3.888351e+00, 1.031495e+00
9.716378e-02, 6.264073e-02, 1.226887e+00, -6.572272e+00, 4.700155e-01
-7.856112e-02, 9.900664e-02, -3.047344e+00, -3.510059e-01, 4.237571e-01
-4.956678e-02, 1.312730e-01, -1.721173e+00, -9.414136e-01, 3.451041e-01
2.819177e-01, 3.229748e-01, -1.311856e+00, 3.827893e+00, 3.539863e-01
2.980911e-01, -1.156427e-01, 2.180437e+00, 7.366792e-01, 5.992475e-02
-3.729934e-02, -1.620907e-02, 5.292107e+00, 8.077696e+00, 3.250605e-01
1.374104e-02, -5.369515e-02, -4.457970e+00, 2.189954e+00, 1.258261e-01
1.413735e-01, -1.079944e-01, -2.948516e+00, -1.024773e+00, 4.952259e-02
-3.435092e-02, -7.162865e-02, -2.739298e+00, -7.776503e+00, 1.635291e-01
-5.356988e-03, -3.936225e-02, -2.065433e+00, -8.729018e+00, 1.651953e-01
3.261274e-01, 1.523397e-01, -2.391771e+00, 2.281731e+00, 6.025829e-02
-3.353901e-01, 9.943359e-02, 8.793400e-01, 1.565782e+00, 6.533733e-02
-2.843495e-01, 6.194746e-02, -1.134874e+00, 2.414629e+00, 1.013390e-01
-1.567174e-01, 7.648333e-03, -3.206180e+00, -1.850162e-02, 5.217925e-02
-3.324409e-01, 4.401412e-02, -2.249010e+00, -1.803567e+00, 7.476450e-02
-3.034478e-01, 7.628054e-02, -2.250650e+00, -2.156175e+00, 6.859113e-02
2.803568e-02, 2.679833e-01, -1.894144e+00, 2.332268e+00, 5.409144e-02
5.104031e-02, -3.748611e-02, 1.869679e+00, 1.914021e+00, 1.168390e-01
1.786727e-01, -9.178517e-02, -2.515873e+00, 2.255104e+00, 1.142774e-01
2.948265e-03, -5.541931e-02, -6.597350e+00, -9.111534e-01, 2.824061e-01
3.194225e-02, -2.315307e-02, -6.442561e+00, -1.096696e+00, 2.271133e-01
3.634262e-01, 1.685486e-01, 1.611996e+00, 2.457767e+00, 8.771877e-02
1.276323e-01, -5.429914e-02, -2.228451e+00, 3.661502e-01, 1.302033e-01
-4.809192e-02, -1.793330e-02, 1.606728e-01, 8.444974e+00, 2.062640e-01
-1.909805e-02, 1.433305e-02, -3.928812e-01, 9.078897e+00, 2.056417e-01
3.123859e-01, 2.060349e-01, 4.898579e+00, 7.344722e-01, 9.921760e-02
-1.757240e-01, 3.636581e-02, 1.119140e+00, 5.053022e-02, 6.795965e-02
-1.467303e-01, 6.863216e-02, 1.117982e+00, 7.262038e-01, 4.023398e-02
1.847533e-01, 2.603336e-01, -2.677472e+00, -9.635728e-01, 4.824281e-02
2.899383e-02, 3.226645e-02, 1.126038e+01, -9.970617e-02, 3.771088e-01
3.604768e-01, 2.239682e-01, -3.585205e-01, -4.761690e+00, 1.097304e-01
3.314838e-01, 1.917017e-01, -7.108440e-01, -4.614557e+00, 1.012228e-01
-4.378644e-02, 1.706386e-01, 1.014406e+00, 1.968967e+00, 4.319483e-01
2.545537e-01, 5.497354e-02, 1.198669e+00, 1.996453e+00, 3.990413e-01
-8.124165e-02, 1.544327e-01, -2.439774e+00, 2.423837e+00, 4.320589e-01
-3.013100e-02, 1.169424e-01, -4.201250e-01, 3.557393e+00, 6.780950e-01
9.765894e-02, 6.263356e-02, 2.266670e-01, -6.759768e+00, 4.179985e-01
-7.846052e-02, 9.901255e-02, -2.030361e+00, -4.012012e-01, 4.722927e-01
-4.925044e-02, 1.312768e-01, -2.021156e+00, -4.763338e-01, 3.682332e-01
2.829600e-01, 3.229539e-01, -3.957004e-01, 4.493364e+00, 3.864120e-01
2.983403e-01, -1.156649e-01, 2.305614e+00, 6.356240e-01, 3.836122e-02
-3.745521e-02, -1.620631e-02, 5.363788e+00, 8.105911e+00, 2.235009e-01
